ML #,Property Sub Type,Status,School District,Close Date,Address,City,Zip Code,Year Built,Subdivision Name,SqFt,Bedrooms,Baths Total,Garage,Acres,Pool,CDOM,Original List Price,Current List Price,LP Dollars/SF,Close Price,ClosePrice/SqFt,Close-List Price Ratio
21278015,Single Family,Active,McKinney ISD,,1603 Haddock  Street ,McKinney,75069,1959,Free Methodist College Add,"1,466",3,1,0/0/0,0.14,No,4,"$230,000 ","$230,000 ",$156.89 ,,,
21183844,Single Family,Cancelled,Prosper ISD,,200 Black Bear  Drive ,McKinney,75071,2016,Fossil Creek At Westridge Ph 1,"2,029",3,3,2/0/2,0.109,No,69,"$460,000 ","$445,000 ",$219.32 ,,,
21250406,Single Family,Pending,McKinney ISD,,713 Summerberry  Drive ,Princeton,75071,2025,Eastridge,"3,611",5,4,2/0/2,0.106,No,7,"$452,990 ","$453,990 ",$125.72 ,,,
21249585,Single Family,Pending,McKinney ISD,,720 Demelza  Road ,Princeton,75069,2026,Cypress Creek West,"3,357",5,5,2/0/2,0.138,No,11,"$489,999 ","$433,800 ",$129.22 ,,,
21265166,Single Family,Active,Princeton ISD,,203 Fairlawn  Drive ,Princeton,75071,2025,Southridge,"3,122",5,3,2/0/2,0.138,No,22,"$414,990 ","$414,990 ",$132.92 ,,,
21275231,Single Family,Active,McKinney ISD,,713 Demelza  Drive ,McKinney,75069,2026,Cypress Creek West,"3,357",5,4,2/0/2,0.138,No,11,"$447,999 ","$447,999 ",$133.45 ,,,
21174466,Single Family,Closed,Princeton ISD,5/14/2026,3419 Copperwood  Drive ,Princeton,75071,2026,Southridge,"3,060",5,3,2/0/2,0.13,No,7,"$407,914 ","$399,414 ",$133.80 ,"$399,414 ",$130.53 ,97.56%
21174474,Single Family,Pending,Princeton ISD,,3411 Copperwood  Drive ,Princeton,75071,2026,Southridge,"3,100",4,4,2/0/2,0.13,No,90,"$420,204 ","$422,704 ",$136.36 ,,,
21179551,Single Family,Pending,McKinney ISD,,1301 Armitage  Way ,McKinney,75069,2026,Cypress Creek West,"3,078",4,3,2/0/2,0.138,No,93,"$448,999 ","$419,999 ",$136.45 ,,,
21217679,Single Family,Pending,Celina ISD,,14554 Jemison  Street ,Pilot Point,75009,2025,Creekview Meadows,"3,451",5,4,2/0/2,0.132,No,58,"$519,990 ","$479,990 ",$139.09 ,,,
21143891,Single Family,Closed,Celina ISD,5/6/2026,2628 Gladewater  Road ,Celina,75009,2026,Lilybrooke Legacy Hills,"2,846",4,3,2/0/2,0.11,No,94,"$390,085 ","$383,600 ",$139.70 ,"$383,600 ",$134.79 ,96.48%
21282224,Single Family,Active,McKinney ISD,,1401 Winters  Way ,Princeton,75071,2026,Eastridge,"3,429",5,4,2/0/2,0.12,No,3,"$479,077 ","$479,077 ",$139.71 ,,,
21259975,Single Family,Pending,McKinney ISD,,1409 Arrowleaf  Drive ,Princeton,75071,2026,Eastridge,"3,060",5,3,2/0/2,0.13,No,6,"$429,442 ","$429,442 ",$140.34 ,,,
21200117,Single Family,Closed,McKinney ISD,5/27/2026,6302 Timberhurst  Drive ,Princeton,75071,2026,Eastridge,"3,060",5,3,2/0/2,0.13,No,48,"$429,012 ","$405,000 ",$140.53 ,"$405,000 ",$132.35 ,94.18%
21179501,Single Family,Closed,McKinney ISD,5/2/2026,1332 Turner  Road ,McKinney,75069,2025,Cypress Creek West,"3,181",4,3,2/0/2,0.138,No,77,"$451,549 ","$432,000 ",$140.69 ,"$432,000 ",$135.81 ,96.53%
21265035,Single Family,Pending,McKinney ISD,,717 Summerberry  Drive ,McKinney,75071,2025,Eastridge,"2,978",5,4,2/0/2,0.132,No,2,"$418,990 ","$418,990 ",$140.70 ,,,
21274812,Single Family,Active,McKinney ISD,,1402 Old Stead  Drive ,Princeton,75071,2026,Eastridge,"3,060",5,3,2/0/2,0.13,No,11,"$433,442 ","$433,442 ",$141.65 ,,,
21216950,Single Family,Pending,McKinney ISD,,6002 Broadacre  Drive ,Princeton,75071,2026,Eastridge,"3,100",4,4,2/0/2,0.13,No,57,"$441,969 ","$439,469 ",$141.76 ,,,
21282222,Single Family,Active,McKinney ISD,,1402 Winters  Way ,Princeton,75071,2026,Eastridge,"3,256",5,4,2/0/2,0.12,No,3,"$461,604 ","$461,604 ",$141.77 ,,,
